QM Energy	FF Energy
      -5.148e-06    -9.08494e-06
      -1.139e-05    -1.99781e-05
     -2.5143e-05     -4.4102e-05
    -0.000438212    -0.000515272
     -0.00013181    -0.000186753
     -1.4171e-05    -1.92763e-05
    -0.000546884    -0.000523973
     -2.3008e-05    -3.04998e-05
    -0.000118959    -0.000193632
     -3.7996e-05    -4.82368e-05
     -3.7926e-05    -5.81689e-05
     -7.1605e-05    -0.000120804
     -2.9705e-05    -6.30156e-05
     -3.8594e-05    -6.45884e-05
    -0.000112017    -0.000131708
      -6.665e-06    -1.10573e-05
     -1.3456e-05    -2.05039e-05
     -2.2889e-05    -3.12447e-05
       -4.08e-06    -8.75176e-06
    -0.000409257    -0.000583083
    -0.000115885    -0.000131436
    -0.000244708    -0.000349035
     -0.00024694    -0.000347859
     -8.4762e-05    -8.83129e-05
    -0.000120618    -0.000179651
    -0.000412158    -0.000477292
     -3.4276e-05    -3.35752e-05
     -1.1919e-05    -1.84112e-05
     -6.6683e-05    -8.94954e-05
     -4.1131e-05    -5.89353e-05
     -1.6157e-05    -1.84757e-05
     -3.4467e-05    -3.28132e-05
    -0.000190806    -0.000261691
      -0.0022601     -0.00169911
    -0.000460225     -0.00042082
     -0.00011577    -0.000153552
     -8.2439e-05    -7.44227e-05
     -1.0028e-05    -2.08771e-05
     -9.2723e-05    -0.000135616
     -2.2125e-05    -2.03459e-05
    -0.000136507    -0.000202909
     -1.1234e-05    -1.18136e-05
    -0.000691723    -0.000642643
    -0.000171838    -0.000209141
     -6.4334e-05    -0.000167004
    -0.000315925    -0.000349048
    -0.000204843    -0.000208508
     -2.8554e-05    -3.55111e-05
     -0.00101859     -0.00100075
    -0.000416938    -0.000456776
      -5.614e-06    -1.07275e-05
    -0.000282949    -0.000450826
     -3.6118e-05     -6.4874e-05
     -2.4492e-05     -3.5494e-05
    -0.000272432     -0.00022813
    -0.000241828    -0.000325044
    -0.000154805    -0.000176708
     -3.8129e-05    -7.26506e-05
    -0.000150529    -0.000194422
    -0.000884827    -0.000889871
     -1.1922e-05     -1.6047e-05
    -0.000393615    -0.000468553
     -2.1222e-05    -3.26116e-05
    -0.000640544    -0.000634859
    -0.000134499    -0.000190338
    -0.000110528    -0.000149493
    -0.000708095    -0.000668553
     -8.1936e-05    -0.000118937
     -1.1685e-05     -1.8232e-05
    -0.000183144    -0.000306466
     -2.1351e-05    -3.50194e-05
    -0.000297079    -0.000270553
    -0.000496306    -0.000488438
    -0.000280737    -0.000264834
     -5.6576e-05    -5.25262e-05
    -0.000181938    -0.000231562
     -1.4392e-05    -1.66267e-05
    -0.000277491    -0.000256157
     -2.6228e-05    -5.50859e-05
     -1.8774e-05    -3.12207e-05
    -0.000117729    -0.000169208
     -2.0713e-05     -2.2045e-05
     -5.8464e-05    -9.30663e-05
      -9.655e-06    -1.90495e-05
    -0.000119177    -0.000132622
     -1.2855e-05     -2.1049e-05
    -0.000199336    -0.000199208
    -0.000504981     -0.00041539
    -0.000346145    -0.000399319
      -0.0005013    -0.000397755
      -9.717e-05    -0.000140732
      -9.772e-06    -1.62776e-05
     -1.9717e-05    -2.75104e-05
    -0.000412853    -0.000354233
     -0.00025872    -0.000243625
     -7.4529e-05    -0.000125544
    -0.000438078    -0.000568243
    -0.000273347    -0.000271149
      -8.204e-06    -2.50521e-05
     -6.7501e-05    -5.77051e-05
    -0.000151254    -0.000293541
     -1.1922e-05    -1.38516e-05
      -9.174e-06    -1.54407e-05
    -0.000323844    -0.000476419
     -2.9275e-05    -5.41279e-05
    -0.000604586    -0.000462302
     -1.4275e-05    -1.92435e-05
    -0.000204475    -0.000309245
     -8.2562e-05    -0.000123321
     -2.2389e-05    -4.67412e-05
    -0.000115895    -0.000161092
     -3.2804e-05    -4.72708e-05
     -1.5528e-05    -2.11174e-05
      -3.743e-06    -7.63639e-06
     -1.7214e-05    -3.52175e-05
    -0.000611497    -0.000696678
     -0.00060293    -0.000736348
     -3.3219e-05    -4.46578e-05
      -9.145e-06    -1.73427e-05
     -5.1727e-05    -7.24612e-05
     -4.1689e-05    -7.07477e-05
     -0.00031304    -0.000333125
      -9.327e-06    -1.48415e-05
     -0.00011591    -0.000248216
      -6.172e-06    -1.00182e-05
     -6.1725e-05    -0.000122722
      -9.087e-06    -1.33955e-05
      -8.599e-06    -1.44361e-05
     -5.9388e-05    -0.000104905
     -7.2401e-05    -7.37107e-05
      -2.381e-05    -3.10654e-05
     -6.3802e-05    -0.000114555
     -1.2034e-05    -2.28276e-05
      -2.966e-05     -2.9156e-05
     -0.00010913    -0.000141081
     -3.7405e-05    -8.13619e-05
      -4.159e-06    -8.73546e-06
    -0.000412626     -0.00055036
     -6.4855e-05     -0.00011525
      -5.766e-06    -8.63086e-06
    -0.000489112    -0.000499358
     -1.8561e-05    -2.59867e-05
     -3.9675e-05    -4.95748e-05
     -1.1688e-05    -2.56998e-05
    -0.000528256    -0.000521553
     -6.3669e-05    -9.04066e-05
     -3.1007e-05    -3.94736e-05
     -3.4175e-05    -7.39948e-05
     -3.2845e-05    -4.78888e-05
     -1.1248e-05    -1.48697e-05
    -0.000306655     -0.00028171
      -7.443e-06    -1.41608e-05
     -1.1838e-05    -1.86153e-05
    -0.000327256     -0.00035594
    -0.000115115    -0.000158189
     -1.1317e-05    -1.56988e-05
       -9.61e-06    -1.75198e-05
     -3.7468e-05    -9.72457e-05
    -0.000441588    -0.000494361
    -0.000132305      -0.0001704
     -1.0098e-05    -1.17998e-05
    -0.000172014    -0.000288049
       -1.08e-05    -2.13886e-05
    -0.000374506    -0.000388612
      -5.126e-05    -9.70306e-05
      -8.422e-06    -1.24014e-05
      -3.781e-05    -3.87109e-05
     -3.1293e-05     -3.0563e-05
    -0.000584284     -0.00063092
    -0.000706135    -0.000719966
     -2.0398e-05    -2.45379e-05
     -2.4791e-05    -3.18061e-05
    -0.000255244    -0.000255204
    -0.000130809    -0.000175246
    -0.000791831     -0.00091248
     -2.5818e-05    -4.70467e-05
      -7.767e-06    -1.50943e-05
     -7.8543e-05    -0.000159988
       -5.92e-05    -0.000100763
     -2.4083e-05    -2.69876e-05
    -0.000807083    -0.000747836
