QM Energy	FF Energy
     -3.5505e-05    -7.13279e-05
    -0.000135511    -0.000146351
    -0.000486956    -0.000534336
    -0.000365773    -0.000435899
    -0.000152817    -0.000207437
    -0.000123624    -0.000221951
      -6.664e-06    -1.88479e-05
    -0.000328914    -0.000328438
    -0.000192112    -0.000220164
     -0.00015191    -0.000190739
       -5.72e-06    -1.58996e-05
    -0.000241679    -0.000258063
    -0.000159603    -0.000266045
    -0.000264656    -0.000308084
     -4.8757e-05    -6.81186e-05
     -6.2115e-05    -6.86123e-05
     -1.1562e-05    -1.87605e-05
    -0.000209029    -0.000308909
     -0.00012705    -0.000208856
     -2.5035e-05    -5.69965e-05
     -1.3385e-05     -1.8974e-05
     -1.0259e-05    -2.70187e-05
     -1.6797e-05    -2.44669e-05
     -6.1812e-05    -8.53565e-05
    -0.000538315     -0.00052633
      -8.137e-06    -1.81854e-05
     -5.6249e-05    -0.000158482
     -1.1133e-05    -1.32959e-05
    -0.000220471    -0.000338698
     -1.3694e-05    -1.81255e-05
    -0.000298563     -0.00029328
    -0.000406393    -0.000506178
     -6.7653e-05    -0.000114492
    -0.000405593    -0.000525852
    -0.000193549    -0.000212431
      -4.078e-06    -9.14557e-06
     -5.5308e-05    -6.05841e-05
     -1.2862e-05    -1.71218e-05
    -0.000112677    -0.000139525
      -7.905e-06    -1.18645e-05
     -1.0498e-05    -1.23649e-05
      -2.617e-06    -6.04426e-06
      -9.702e-06    -1.30145e-05
       -8.19e-06    -1.48394e-05
     -2.8512e-05    -3.85199e-05
     -1.2302e-05    -1.79223e-05
      -5.882e-06    -1.21908e-05
    -0.000244829    -0.000246102
    -0.000570906    -0.000614859
    -0.000100819    -0.000155849
    -0.000305766    -0.000415804
    -0.000221496    -0.000248057
    -0.000124423    -0.000221042
    -0.000139439    -0.000186375
     -2.5725e-05    -4.45412e-05
    -0.000243111    -0.000316005
     -4.1007e-05    -0.000124001
     -5.5642e-05    -6.94018e-05
      -1.987e-05    -4.27737e-05
      -2.388e-05    -3.16655e-05
      -8.488e-06    -1.39931e-05
       -8.05e-06    -1.52736e-05
     -5.2767e-05    -0.000127364
    -0.000277522    -0.000289487
    -0.000130324    -0.000215096
    -0.000459714    -0.000516091
    -0.000127986    -0.000147422
     -1.7335e-05    -3.60302e-05
      -2.067e-05    -5.37276e-05
     -2.0701e-05    -2.64791e-05
     -3.7609e-05    -4.91091e-05
    -0.000770788    -0.000725953
    -0.000567906     -0.00054186
      -5.476e-06    -9.36017e-06
     -1.6801e-05    -2.63962e-05
      -3.752e-06    -8.63705e-06
    -0.000218573    -0.000269109
    -0.000176432    -0.000181653
     -0.00065787    -0.000684572
      -8.076e-06    -1.70073e-05
     -7.0764e-05    -9.34556e-05
      -2.541e-06    -5.80808e-06
      -1.502e-05    -2.01895e-05
     -1.9293e-05    -4.01654e-05
     -7.5753e-05    -0.000108967
    -0.000115805    -0.000250961
    -0.000239205    -0.000243402
    -0.000770424    -0.000766066
    -0.000106269    -0.000127983
      -8.225e-06    -1.30822e-05
     -3.8411e-05    -7.48337e-05
      -5.754e-06    -1.00119e-05
     -1.5682e-05    -3.30927e-05
      -8.679e-06    -1.26579e-05
     -1.1798e-05    -1.82543e-05
     -6.7616e-05     -7.8836e-05
     -2.3699e-05    -3.37176e-05
      -9.938e-06    -1.40421e-05
     -3.0429e-05    -3.98826e-05
     -4.1341e-05    -5.19777e-05
     -3.3465e-05    -8.95315e-05
       -7.08e-06    -1.01574e-05
     -1.2302e-05    -2.78532e-05
    -0.000102311    -0.000159527
    -0.000245932    -0.000336894
     -6.2005e-05    -7.69546e-05
    -0.000426685    -0.000566856
     -4.0517e-05     -6.1006e-05
      -2.989e-06    -5.92495e-06
     -1.9013e-05    -3.70323e-05
     -0.00127435    -0.000986821
    -0.000374283    -0.000453646
     -3.4907e-05    -4.13126e-05
     -7.9517e-05    -0.000147412
     -5.8122e-05     -9.5526e-05
    -0.000547921    -0.000499665
     -3.2938e-05    -5.75795e-05
      -7.501e-06    -9.23533e-06
    -0.000137459    -0.000165564
    -0.000300408    -0.000463344
    -0.000367195    -0.000411302
     -6.6516e-05    -9.26991e-05
     -1.0832e-05    -1.55032e-05
     -1.5683e-05    -4.85177e-05
    -0.000162033    -0.000259368
     -0.00014118    -0.000253231
     -4.4474e-05    -9.21086e-05
     -2.6972e-05    -6.29699e-05
     -2.5584e-05    -3.41014e-05
     -5.3933e-05    -6.82248e-05
    -0.000196258    -0.000204291
       -3.83e-06    -6.00265e-06
    -0.000304578    -0.000462636
     -3.1167e-05    -3.86174e-05
    -0.000654247    -0.000703521
     -9.6268e-05    -0.000164119
    -0.000331736    -0.000377535
